
,,Sales Person,Geography,Product,Date,Sales,Boxes
,,Dennison Crosswaite,USA  ,Caramel Stuffed Bars,03/06/2023,15063.75,557
,,Kaine Padly,Canada,Almond Choco,08/09/2023,1179,338
,,Mallorie Waber,USA   ,Spicy Special Slims,08/28/2023,8354.25,34
,,Gunar Cockshoot,Canada ,Manuka Honey Choco,09/25/2023,19550.25,74
,,Ches Bonnell,Canada ,Baker's Choco Chips,11/27/2023,5337,166
,,Barr Faughny,India   ,Drinking Coco,02/27/2024,6176.25,168
,,Gigi Bohling,Canada  ,Fruit & Nut Bars,05/05/2023,7535.25,175
,,Karlen McCaffrey,UK ,Orange Choco,11/24/2023,9328.5,207
,,Wilone O'Kielt,India,Drinking Coco,02/06/2023,4997.25,361
,,Gigi Bohling,New Zealand   ,Eclairs,04/07/2023,5283,251
,,Husein Augar,Australia   ,Fruit & Nut Bars,05/01/2023,9929.25,866
,,Mallorie Waber,UK ,After Nines,10/31/2023,234,256
,,Kelci Walkden,USA  ,Baker's Choco Chips,05/10/2023,8363.25,114
,,Oby Sorrel,India  ,Raspberry Choco,03/13/2023,1971,15
,,Curtice Advani,Canada ,Raspberry Choco,05/08/2023,2706.75,1079
,,Kaine Padly,UK,Raspberry Choco,01/29/2024,1037.25,260
,,Dotty Strutley,New Zealand,Drinking Coco,09/06/2023,5339.25,426
,,Jehu Rudeforth,New Zealand ,Drinking Coco,11/09/2023,6448.5,57
,,Gunar Cockshoot,USA  ,Drinking Coco,03/16/2023,5008.5,348
,,Oby Sorrel,Canada ,Smooth Silky Salty,01/08/2024,10107,747
,,Gunar Cockshoot,UK,Smooth Silky Salty,02/28/2024,6486.75,13
,,Ches Bonnell,Australia ,Fruit & Nut Bars,02/05/2024,11085.75,714
,,Dennison Crosswaite,India  ,Mint Chip Choco,07/18/2023,1077.75,103
,,Ches Bonnell,USA,Eclairs,11/23/2023,6498,134
,,Brien Boise,USA   ,Baker's Choco Chips,01/30/2024,47.25,292
,,Curtice Advani,Canada,Choco Coated Almonds,11/28/2023,9182.25,45
,,Kelci Walkden,USA,Caramel Stuffed Bars,04/13/2023,6390,100
,,Dennison Crosswaite,UK,Fruit & Nut Bars,03/06/2023,1455.75,110
,,Jehu Rudeforth,New Zealand,50% Dark Bites,09/15/2023,2742.75,37
,,Husein Augar,Australia ,Mint Chip Choco,01/18/2024,2054.25,382
,,Gunar Cockshoot,Australia,White Choc,04/05/2023,9974.25,712
,,Oby Sorrel,India  ,Smooth Silky Salty,04/07/2023,4628.25,236
,,Brien Boise,India ,Spicy Special Slims,09/29/2023,3665.25,128
,,Mallorie Waber,USA ,Caramel Stuffed Bars,07/28/2023,9810,486
,,Camilla Castle,Canada,Smooth Silky Salty,02/13/2023,400.5,49
,,Mallorie Waber,Australia  ,Fruit & Nut Bars,08/10/2023,13306.5,1203
,,Marney O'Breen,Australia  ,Spicy Special Slims,04/12/2023,3966.75,20
,,Rafaelita Blaksland,New Zealand  ,Drinking Coco,09/07/2023,6606,465
,,Jehu Rudeforth,Canada,Organic Choco Syrup,03/20/2023,11202.75,396
,,Husein Augar,Australia,70% Dark Bites,09/14/2023,1993.5,410
,,Dotty Strutley,India,Caramel Stuffed Bars,07/03/2023,1644.75,138
,,Beverie Moffet,Canada  ,Raspberry Choco,01/23/2024,72,1187
,,Kelci Walkden,New Zealand   ,Spicy Special Slims,10/05/2023,10460.25,402
,,Husein Augar,Australia  ,White Choc,10/02/2023,5973.75,201
,,Jan Morforth,Canada   ,Manuka Honey Choco,04/03/2023,14112,283
,,Kelci Walkden,UK ,Organic Choco Syrup,03/16/2023,7598.25,350
,,Oby Sorrel,India  ,Almond Choco,08/03/2023,13704.75,269
,,Van Tuxwell,USA  ,Orange Choco,08/01/2023,8979.75,134
,,Ches Bonnell,USA   ,Peanut Butter Cubes,12/04/2023,3514.5,306
,,Van Tuxwell,India  ,Fruit & Nut Bars,03/21/2023,6657.75,268
,,Dennison Crosswaite,India   ,Choco Coated Almonds,06/29/2023,6806.25,142
,,Gunar Cockshoot,UK ,99% Dark & Pure,10/30/2023,10856.25,51
,,Curtice Advani,India,White Choc,05/29/2023,8624.25,362
,,Gunar Cockshoot,India   ,Smooth Silky Salty,10/02/2023,2405.25,228
,,Kelci Walkden,Australia,Orange Choco,02/26/2024,9067.5,247
,,Kaine Padly,Canada,Orange Choco,02/14/2024,5935.5,90
,,Jan Morforth,New Zealand ,Raspberry Choco,03/15/2023,11004.75,160
,,Dotty Strutley,Australia ,70% Dark Bites,05/30/2023,6720.75,106
,,Dennison Crosswaite,New Zealand,50% Dark Bites,10/04/2023,2886.75,166
,,Karlen McCaffrey,India   ,After Nines,12/27/2023,936,146
,,Gigi Bohling,Australia ,50% Dark Bites,07/10/2023,864,270
,,Mallorie Waber,UK   ,Peanut Butter Cubes,09/14/2023,6774.75,414
,,Gigi Bohling,UK ,85% Dark Bars,12/07/2023,1842.75,21
,,Dotty Strutley,India  ,Raspberry Choco,09/29/2023,7938,811
,,Dotty Strutley,Australia   ,Almond Choco,08/29/2023,2999.25,805
,,Kelci Walkden,USA   ,50% Dark Bites,11/23/2023,1203.75,403
,,Marney O'Breen,Canada   ,After Nines,08/03/2023,5017.5,167
,,Dennison Crosswaite,New Zealand   ,70% Dark Bites,04/19/2023,5035.5,162
,,Jehu Rudeforth,Australia   ,After Nines,11/28/2023,7794,239
,,Curtice Advani,USA   ,Almond Choco,02/21/2024,7699.5,179
,,Rafaelita Blaksland,New Zealand ,Organic Choco Syrup,02/27/2024,4810.5,343
,,Mallorie Waber,Australia  ,White Choc,04/13/2023,6540.75,95
,,Mallorie Waber,Australia,Organic Choco Syrup,10/31/2023,13171.5,953
,,Jehu Rudeforth,New Zealand,Eclairs,11/15/2023,7805.25,344
,,Dotty Strutley,New Zealand ,Manuka Honey Choco,12/27/2023,2002.5,69
,,Oby Sorrel,New Zealand  ,Spicy Special Slims,12/12/2023,4680,82
,,Brien Boise,Canada   ,99% Dark & Pure,04/13/2023,3962.25,163
,,Dennison Crosswaite,Canada,Almond Choco,07/25/2023,6169.5,490
,,Kelci Walkden,USA   ,Manuka Honey Choco,01/03/2024,3480.75,135
,,Dennison Crosswaite,UK,Baker's Choco Chips,02/20/2024,8199,200
,,Jan Morforth,Australia ,Baker's Choco Chips,01/08/2024,10221.75,446
,,Barr Faughny,USA   ,Eclairs,01/25/2024,5391,456
,,Gunar Cockshoot,USA,Mint Chip Choco,07/19/2023,8057.25,144
,,Gunar Cockshoot,Australia  ,Organic Choco Syrup,10/19/2023,1017,368
,,Husein Augar,New Zealand,Fruit & Nut Bars,09/15/2023,6025.5,1484
,,Kaine Padly,UK   ,Peanut Butter Cubes,11/09/2023,5143.5,685
,,Karlen McCaffrey,Canada  ,70% Dark Bites,05/26/2023,3771,415
,,Oby Sorrel,Australia  ,99% Dark & Pure,01/26/2024,9895.5,74
,,Ches Bonnell,USA ,Mint Chip Choco,02/17/2023,589.5,79
,,Roddy Speechley,Canada ,99% Dark & Pure,03/21/2023,3861,82
,,Mallorie Waber,India ,Orange Choco,07/06/2023,9499.5,53
,,Brien Boise,USA   ,50% Dark Bites,02/20/2023,4385.25,365
,,Oby Sorrel,Australia,85% Dark Bars,11/23/2023,202.5,245
,,Husein Augar,New Zealand ,Orange Choco,05/17/2023,4513.5,248
,,Camilla Castle,India   ,Orange Choco,11/07/2023,15273,367
,,Ches Bonnell,UK  ,Drinking Coco,02/21/2024,5613.75,416
,,Brien Boise,Canada,Manuka Honey Choco,06/22/2023,3483,28
,,Dotty Strutley,Australia,White Choc,08/01/2023,1995.75,205
,,Rafaelita Blaksland,India   ,85% Dark Bars,01/05/2024,12692.25,141
,,Husein Augar,New Zealand  ,White Choc,04/06/2023,3204,473
,,Jan Morforth,India  ,Raspberry Choco,10/19/2023,3154.5,1208
,,Curtice Advani,Canada  ,99% Dark & Pure,01/02/2024,9623.25,481
,,Van Tuxwell,New Zealand ,Almond Choco,09/06/2023,1633.5,136
,,Kaine Padly,New Zealand ,Smooth Silky Salty,02/17/2023,5438.25,773
,,Karlen McCaffrey,Australia ,Raspberry Choco,01/12/2024,12458.25,120
,,Andria Kimpton,UK,Baker's Choco Chips,10/02/2023,558,431
,,Mallorie Waber,UK   ,Choco Coated Almonds,06/26/2023,2142,292
,,Gigi Bohling,USA ,50% Dark Bites,02/28/2023,139.5,140
,,Rafaelita Blaksland,UK,Manuka Honey Choco,08/29/2023,5643,129
,,Madelene Upcott,USA  ,Spicy Special Slims,01/08/2024,4171.5,42
,,Husein Augar,Australia ,Baker's Choco Chips,12/04/2023,2385,601
,,Kaine Padly,New Zealand   ,Fruit & Nut Bars,10/10/2023,6783.75,455
,,Dennison Crosswaite,USA  ,50% Dark Bites,09/20/2023,10703.25,17
,,Ches Bonnell,India  ,Drinking Coco,05/01/2023,6824.25,355
,,Karlen McCaffrey,USA  ,Baker's Choco Chips,10/25/2023,6801.75,25
,,Gigi Bohling,India   ,85% Dark Bars,09/04/2023,10554.75,105
,,Madelene Upcott,UK  ,Smooth Silky Salty,04/06/2023,2378.25,597
,,Madelene Upcott,UK,70% Dark Bites,08/21/2023,3332.25,445
,,Kaine Padly,India ,Fruit & Nut Bars,01/03/2024,12523.5,246
,,Beverie Moffet,USA ,Baker's Choco Chips,06/13/2023,1113.75,525
,,Van Tuxwell,UK,Peanut Butter Cubes,08/31/2023,6689.25,298
,,Dennison Crosswaite,Canada  ,Manuka Honey Choco,03/20/2023,1255.5,93
,,Husein Augar,UK   ,99% Dark & Pure,09/12/2023,6036.75,562
,,Husein Augar,Canada ,Fruit & Nut Bars,02/15/2023,2985.75,245
,,Mallorie Waber,USA  ,Choco Coated Almonds,05/26/2023,7490.25,142
,,Beverie Moffet,UK   ,White Choc,12/20/2023,1507.5,256
,,Gunar Cockshoot,New Zealand  ,Drinking Coco,12/04/2023,5503.5,155
,,Ches Bonnell,Australia,Almond Choco,07/04/2023,3591,4
,,Gunar Cockshoot,Canada  ,99% Dark & Pure,07/10/2023,4171.5,119
,,Oby Sorrel,UK ,White Choc,08/23/2023,3568.5,500
,,Wilone O'Kielt,Canada  ,Baker's Choco Chips,08/03/2023,3793.5,23
,,Rafaelita Blaksland,UK  ,Caramel Stuffed Bars,05/31/2023,7463.25,837
,,Beverie Moffet,India ,99% Dark & Pure,04/17/2023,10944,74
,,Wilone O'Kielt,USA   ,After Nines,12/18/2023,2560.5,881
,,Gigi Bohling,India  ,Baker's Choco Chips,06/22/2023,1003.5,156
,,Kelci Walkden,Australia,Mint Chip Choco,11/03/2023,465.75,220
,,Beverie Moffet,USA   ,85% Dark Bars,02/28/2024,540,392
,,Dotty Strutley,India ,Choco Coated Almonds,07/10/2023,4801.5,13
,,Barr Faughny,New Zealand   ,85% Dark Bars,09/05/2023,3017.25,528
,,Roddy Speechley,USA ,Almond Choco,05/22/2023,16051.5,96
,,Kelci Walkden,Australia  ,50% Dark Bites,02/09/2023,5793.75,586
,,Van Tuxwell,India,Baker's Choco Chips,09/07/2023,3642.75,264
,,Madelene Upcott,UK ,Drinking Coco,09/29/2023,5726.25,210
,,Beverie Moffet,India   ,Organic Choco Syrup,08/23/2023,5496.75,318
,,Oby Sorrel,India  ,Mint Chip Choco,05/01/2023,371.25,461
,,Dennison Crosswaite,UK,Spicy Special Slims,11/20/2023,5175,445
,,Andria Kimpton,UK ,Smooth Silky Salty,01/17/2024,3719.25,279
,,Mallorie Waber,India  ,White Choc,06/28/2023,2313,188
,,Rafaelita Blaksland,New Zealand,Orange Choco,12/13/2023,10300.5,301
,,Van Tuxwell,USA,Baker's Choco Chips,05/23/2023,9724.5,221
,,Van Tuxwell,USA,Milk Bars,12/05/2023,1674,81
,,Barr Faughny,Australia  ,Organic Choco Syrup,05/04/2023,254.25,589
,,Andria Kimpton,Canada  ,Almond Choco,12/06/2023,3564,308
,,Jehu Rudeforth,India  ,Baker's Choco Chips,10/05/2023,8811,10
,,Gigi Bohling,New Zealand,50% Dark Bites,07/17/2023,2137.5,716
,,Wilone O'Kielt,Canada   ,Raspberry Choco,08/18/2023,3912.75,1041
,,Beverie Moffet,India,Choco Coated Almonds,05/30/2023,6340.5,683
,,Oby Sorrel,India   ,70% Dark Bites,08/09/2023,4162.5,223
,,Karlen McCaffrey,Australia,85% Dark Bars,10/27/2023,8617.5,82
,,Mallorie Waber,Canada,Mint Chip Choco,10/19/2023,2648.25,84
,,Gunar Cockshoot,India   ,85% Dark Bars,07/27/2023,6324.75,311
,,Andria Kimpton,Australia,Orange Choco,03/31/2023,10622.25,105
,,Brien Boise,New Zealand   ,Milk Bars,12/15/2023,9029.25,465
,,Rafaelita Blaksland,Canada  ,Baker's Choco Chips,08/17/2023,6160.5,24
,,Kaine Padly,USA,Choco Coated Almonds,06/07/2023,3636,31
,,Barr Faughny,Canada,70% Dark Bites,01/08/2024,7290,498
,,Oby Sorrel,UK  ,Choco Coated Almonds,10/09/2023,4929.75,365
,,Kelci Walkden,UK,Almond Choco,06/12/2023,8489.25,46
,,Dennison Crosswaite,UK ,Peanut Butter Cubes,04/27/2023,8554.5,43
,,Roddy Speechley,UK,After Nines,08/02/2023,1932.75,54
,,Van Tuxwell,India  ,Drinking Coco,08/04/2023,5604.75,545
,,Van Tuxwell,USA  ,After Nines,04/07/2023,11265.75,236
,,Kaine Padly,New Zealand   ,Baker's Choco Chips,09/08/2023,4758.75,343
,,Ches Bonnell,Australia   ,Milk Bars,01/05/2024,5733,226
,,Gunar Cockshoot,USA ,Eclairs,07/17/2023,1023.75,7
,,Andria Kimpton,Australia ,Choco Coated Almonds,09/29/2023,2137.5,852
,,Kaine Padly,India ,Mint Chip Choco,03/29/2023,420.75,98
,,Jan Morforth,Australia   ,Drinking Coco,10/19/2023,4619.25,931
,,Barr Faughny,India   ,Milk Bars,11/24/2023,3854.25,120
,,Rafaelita Blaksland,UK ,Spicy Special Slims,01/04/2024,8550,213
,,Kaine Padly,Canada   ,Fruit & Nut Bars,03/21/2023,3575.25,850
,,Gunar Cockshoot,India ,Organic Choco Syrup,05/05/2023,13164.75,845
,,Curtice Advani,USA,Smooth Silky Salty,06/12/2023,16710.75,534
,,Gigi Bohling,UK ,After Nines,04/19/2023,5926.5,608
,,Curtice Advani,Australia   ,Mint Chip Choco,01/22/2024,578.25,149
,,Mallorie Waber,India ,Manuka Honey Choco,09/07/2023,8592.75,214
,,Dennison Crosswaite,USA ,Choco Coated Almonds,05/03/2023,8586,186
,,Van Tuxwell,USA,Choco Coated Almonds,07/21/2023,15698.25,239
,,Oby Sorrel,New Zealand   ,Raspberry Choco,05/10/2023,13360.5,639
,,Kaine Padly,Canada  ,Baker's Choco Chips,05/29/2023,4092.75,151
,,Curtice Advani,India   ,Almond Choco,01/11/2024,11560.5,6
,,Marney O'Breen,USA,Smooth Silky Salty,02/23/2023,4585.5,205
,,Barr Faughny,Canada ,50% Dark Bites,09/29/2023,411.75,1103
,,Kaine Padly,UK ,99% Dark & Pure,10/30/2023,8835.75,344
,,Gigi Bohling,UK   ,70% Dark Bites,02/09/2024,4765.5,38
,,Curtice Advani,India,Eclairs,10/27/2023,5384.25,63
,,Oby Sorrel,Australia  ,Spicy Special Slims,03/27/2023,5717.25,545
,,Van Tuxwell,Australia,Raspberry Choco,07/14/2023,3753,191
,,Gigi Bohling,New Zealand ,Caramel Stuffed Bars,09/28/2023,9096.75,308
,,Roddy Speechley,UK  ,99% Dark & Pure,05/25/2023,6126.75,530
,,Barr Faughny,Australia ,Drinking Coco,03/30/2023,4279.5,219
,,Husein Augar,New Zealand,Milk Bars,07/05/2023,99,413
,,Rafaelita Blaksland,UK ,50% Dark Bites,12/11/2023,2234.25,156
,,Van Tuxwell,Canada ,70% Dark Bites,12/27/2023,3037.5,186
,,Roddy Speechley,USA  ,Peanut Butter Cubes,12/19/2023,4142.25,229
,,Jehu Rudeforth,UK  ,Caramel Stuffed Bars,02/24/2023,9252,17
,,Roddy Speechley,Canada,After Nines,04/06/2023,9193.5,599
,,Beverie Moffet,UK,Milk Bars,06/29/2023,45,134
,,Brien Boise,Australia ,Peanut Butter Cubes,12/18/2023,8309.25,224
,,Dotty Strutley,Australia   ,Spicy Special Slims,05/23/2023,3476.25,506
,,Curtice Advani,UK  ,Milk Bars,06/07/2023,7128,215
,,Wilone O'Kielt,India   ,Caramel Stuffed Bars,12/05/2023,1881,274
,,Ches Bonnell,Canada ,85% Dark Bars,06/19/2023,1638,451
,,Wilone O'Kielt,Canada,Drinking Coco,01/12/2024,5474.25,247
,,Oby Sorrel,Canada ,Choco Coated Almonds,12/12/2023,425.25,71
,,Wilone O'Kielt,India  ,Eclairs,06/08/2023,3066.75,20
,,Beverie Moffet,India  ,Mint Chip Choco,12/22/2023,4668.75,192
,,Oby Sorrel,UK ,Caramel Stuffed Bars,10/09/2023,3138.75,24
,,Wilone O'Kielt,Canada  ,Organic Choco Syrup,08/23/2023,1865.25,348
,,Wilone O'Kielt,Canada ,Almond Choco,01/08/2024,2355.75,10
,,Andria Kimpton,USA,Milk Bars,02/17/2023,2589.75,1
,,Husein Augar,Australia ,Almond Choco,05/10/2023,9621,470
,,Camilla Castle,Australia ,Baker's Choco Chips,01/10/2024,6063.75,93
,,Brien Boise,Canada,Raspberry Choco,02/23/2024,1530,414
,,Rafaelita Blaksland,India   ,Mint Chip Choco,03/10/2023,4423.5,100
,,Dennison Crosswaite,Canada,Mint Chip Choco,11/13/2023,569.25,63
,,Roddy Speechley,UK  ,Choco Coated Almonds,05/26/2023,888.75,589
,,Jan Morforth,India ,50% Dark Bites,12/19/2023,695.25,2298
,,Mallorie Waber,USA   ,99% Dark & Pure,08/22/2023,8021.25,362
,,Mallorie Waber,USA   ,50% Dark Bites,10/16/2023,3485.25,508
,,Dotty Strutley,New Zealand   ,Caramel Stuffed Bars,10/13/2023,1680.75,624
,,Jehu Rudeforth,Australia   ,50% Dark Bites,02/23/2023,420.75,1672
,,Gigi Bohling,Australia,Baker's Choco Chips,10/30/2023,5854.5,91
,,Karlen McCaffrey,New Zealand   ,Mint Chip Choco,08/30/2023,5325.75,131
,,Van Tuxwell,USA ,Organic Choco Syrup,09/14/2023,6664.5,157
,,Ches Bonnell,Canada  ,Mint Chip Choco,07/20/2023,4245.75,475
,,Curtice Advani,New Zealand,Almond Choco,06/14/2023,9000,237
,,Roddy Speechley,New Zealand,Fruit & Nut Bars,12/04/2023,12037.5,549
,,Beverie Moffet,USA   ,After Nines,12/05/2023,4839.75,58
,,Madelene Upcott,USA  ,White Choc,08/21/2023,2679.75,789
,,Dotty Strutley,India  ,White Choc,02/06/2023,4106.25,819
,,Van Tuxwell,India,70% Dark Bites,03/06/2023,6761.25,379
,,Ches Bonnell,Australia   ,Manuka Honey Choco,08/03/2023,2902.5,304
,,Camilla Castle,New Zealand ,Orange Choco,01/08/2024,2124,128
,,Camilla Castle,USA   ,Fruit & Nut Bars,03/17/2023,1894.5,413
,,Brien Boise,UK   ,White Choc,08/11/2023,1827,340
,,Rafaelita Blaksland,Australia  ,Caramel Stuffed Bars,11/03/2023,1289.25,264
,,Dotty Strutley,New Zealand  ,Fruit & Nut Bars,08/22/2023,7420.5,303
,,Mallorie Waber,Canada  ,Manuka Honey Choco,12/26/2023,8487,7
,,Camilla Castle,USA   ,50% Dark Bites,07/10/2023,7092,518
,,Van Tuxwell,India   ,White Choc,03/31/2023,6450.75,274
,,Camilla Castle,UK  ,Peanut Butter Cubes,08/02/2023,8235,1415
,,Ches Bonnell,India,Peanut Butter Cubes,09/06/2023,9423,16
,,Barr Faughny,New Zealand,Manuka Honey Choco,11/24/2023,8797.5,66
,,Barr Faughny,India,85% Dark Bars,12/21/2023,351,199
,,Brien Boise,New Zealand  ,85% Dark Bars,10/27/2023,6612.75,51
,,Wilone O'Kielt,USA,Almond Choco,02/22/2023,4666.5,615
,,Dennison Crosswaite,UK  ,Caramel Stuffed Bars,05/09/2023,9297,349
,,Beverie Moffet,Australia   ,Baker's Choco Chips,04/11/2023,1770.75,157
,,Marney O'Breen,Australia  ,Organic Choco Syrup,05/30/2023,12568.5,15
,,Rafaelita Blaksland,Canada,Eclairs,07/18/2023,2639.25,702
,,Ches Bonnell,India,Raspberry Choco,04/06/2023,5870.25,1639
,,Dotty Strutley,India,50% Dark Bites,03/13/2023,2277,28
,,Ches Bonnell,India ,Manuka Honey Choco,04/04/2023,7123.5,192
,,Kaine Padly,Canada  ,50% Dark Bites,04/14/2023,6927.75,107
,,Gunar Cockshoot,New Zealand ,Almond Choco,07/17/2023,1440,656
,,Madelene Upcott,UK  ,Choco Coated Almonds,05/26/2023,2459.25,314
,,Oby Sorrel,Australia  ,White Choc,08/04/2023,2241,513
,,Mallorie Waber,USA   ,Raspberry Choco,12/20/2023,5418,692
,,Marney O'Breen,USA   ,99% Dark & Pure,12/08/2023,5352.75,46
,,Gigi Bohling,USA   ,Milk Bars,05/24/2023,1413,709
,,Rafaelita Blaksland,Australia   ,Raspberry Choco,09/20/2023,4684.5,135
,,Jan Morforth,New Zealand ,Baker's Choco Chips,10/19/2023,9015.75,104
,,Dotty Strutley,New Zealand  ,Orange Choco,04/06/2023,7380,457
,,Husein Augar,New Zealand  ,Baker's Choco Chips,01/25/2024,2911.5,140
,,Husein Augar,India  ,Almond Choco,10/24/2023,132.75,147
,,Kelci Walkden,India,Manuka Honey Choco,01/01/2024,12501,402
,,Karlen McCaffrey,Australia  ,Smooth Silky Salty,10/24/2023,6000.75,137
,,Brien Boise,India   ,White Choc,02/07/2024,193.5,160
,,Dotty Strutley,India ,Fruit & Nut Bars,02/06/2023,12669.75,552
,,Madelene Upcott,Australia   ,Peanut Butter Cubes,11/28/2023,5881.5,637
,,Camilla Castle,India   ,85% Dark Bars,12/04/2023,9803.25,73
,,Kelci Walkden,USA,Almond Choco,10/02/2023,11254.5,214
,,Dotty Strutley,New Zealand   ,50% Dark Bites,08/31/2023,12919.5,694
,,Ches Bonnell,India ,Baker's Choco Chips,09/28/2023,5807.25,78
,,Van Tuxwell,Canada,Eclairs,11/16/2023,1062,415
,,Oby Sorrel,New Zealand   ,Fruit & Nut Bars,01/01/2024,5998.5,325
,,Jehu Rudeforth,Australia,99% Dark & Pure,01/23/2024,6984,167
,,Madelene Upcott,India   ,Caramel Stuffed Bars,08/02/2023,11495.25,287
,,Dotty Strutley,USA,Fruit & Nut Bars,11/28/2023,7285.5,381
,,Beverie Moffet,Canada  ,Spicy Special Slims,07/03/2023,12726,88
,,Gigi Bohling,Australia,99% Dark & Pure,06/08/2023,10478.25,830
,,Gigi Bohling,USA  ,Manuka Honey Choco,08/21/2023,4819.5,104
,,Ches Bonnell,Australia,Orange Choco,06/05/2023,195.75,293
,,Roddy Speechley,New Zealand  ,85% Dark Bars,04/20/2023,6498,44
,,Camilla Castle,India   ,After Nines,09/20/2023,13509,173
,,Beverie Moffet,UK   ,Almond Choco,06/05/2023,5721.75,700
,,Mallorie Waber,UK,Baker's Choco Chips,05/29/2023,1239.75,173
,,Gunar Cockshoot,India   ,Eclairs,12/05/2023,1003.5,314
,,Roddy Speechley,Canada,Eclairs,06/26/2023,4450.5,164
,,Dotty Strutley,Canada,Fruit & Nut Bars,02/06/2023,5001.75,1123
,,Gigi Bohling,New Zealand  ,Milk Bars,01/05/2024,11380.5,40
,,Jehu Rudeforth,Australia  ,Fruit & Nut Bars,03/13/2023,9423,621
,,Marney O'Breen,India   ,Drinking Coco,05/10/2023,5519.25,361
,,Jan Morforth,UK ,White Choc,09/20/2023,3987,404
,,Kaine Padly,India ,Eclairs,07/13/2023,3296.25,135
,,Kaine Padly,USA  ,White Choc,02/06/2023,8518.5,278
,,Husein Augar,India,Smooth Silky Salty,10/06/2023,3192.75,749
,,Madelene Upcott,USA ,Drinking Coco,02/16/2023,5087.25,261
,,Andria Kimpton,New Zealand ,Orange Choco,07/10/2023,1557,84
,,Karlen McCaffrey,USA ,White Choc,12/28/2023,8421.75,324
,,Ches Bonnell,USA,After Nines,10/06/2023,4074.75,285
,,Jehu Rudeforth,UK ,White Choc,02/14/2024,393.75,86
,,Mallorie Waber,Australia  ,Drinking Coco,02/01/2024,3449.25,74
,,Barr Faughny,New Zealand ,Choco Coated Almonds,02/23/2024,5303.25,40
,,Jan Morforth,UK,After Nines,10/09/2023,9492.75,143
,,Dennison Crosswaite,India ,Baker's Choco Chips,12/27/2023,2711.25,306
,,Beverie Moffet,UK   ,Manuka Honey Choco,08/31/2023,9677.25,94
,,Camilla Castle,UK  ,Eclairs,10/27/2023,1476,522
,,Madelene Upcott,USA ,99% Dark & Pure,02/02/2023,6534,620
,,Madelene Upcott,New Zealand,Manuka Honey Choco,10/17/2023,5852.25,214
,,Oby Sorrel,Australia ,Milk Bars,07/28/2023,2488.5,217
,,Jan Morforth,UK  ,Peanut Butter Cubes,04/03/2023,3150,677
,,Karlen McCaffrey,New Zealand,Organic Choco Syrup,01/08/2024,1269,861
,,Mallorie Waber,Australia,50% Dark Bites,03/17/2023,2157.75,189
,,Karlen McCaffrey,USA,Milk Bars,04/25/2023,4009.5,255
,,Jehu Rudeforth,India ,Fruit & Nut Bars,09/04/2023,6392.25,1314
,,Andria Kimpton,UK  ,Choco Coated Almonds,07/26/2023,6419.25,186
,,Gunar Cockshoot,UK  ,Orange Choco,12/21/2023,5991.75,261
,,Dotty Strutley,India   ,Baker's Choco Chips,01/10/2024,6626.25,54
,,Curtice Advani,Canada ,Organic Choco Syrup,04/06/2023,1892.25,307
,,Jehu Rudeforth,New Zealand ,Mint Chip Choco,05/16/2023,2193.75,217
,,Barr Faughny,Australia  ,After Nines,11/06/2023,3100.5,594
,,Kelci Walkden,UK  ,Raspberry Choco,12/14/2023,927,108
,,Andria Kimpton,Canada,Peanut Butter Cubes,04/03/2023,7155,62
,,Van Tuxwell,New Zealand ,White Choc,09/11/2023,4169.25,229
,,Jan Morforth,India ,Caramel Stuffed Bars,01/16/2024,11052,284
,,Beverie Moffet,New Zealand   ,White Choc,07/05/2023,4104,493
,,Barr Faughny,UK  ,Eclairs,06/08/2023,10019.25,96
,,Jan Morforth,India   ,Milk Bars,02/07/2024,7148.25,229
,,Dotty Strutley,India ,Manuka Honey Choco,12/12/2023,12377.25,183
,,Gigi Bohling,New Zealand ,85% Dark Bars,02/15/2024,7836.75,146
,,Dennison Crosswaite,India ,Smooth Silky Salty,09/25/2023,7913.25,86
,,Oby Sorrel,USA  ,Spicy Special Slims,11/24/2023,5719.5,267
,,Mallorie Waber,UK,White Choc,12/06/2023,6518.25,73
,,Jehu Rudeforth,UK ,Fruit & Nut Bars,11/28/2023,8088.75,697
,,Rafaelita Blaksland,New Zealand   ,Spicy Special Slims,04/28/2023,4846.5,300
,,Karlen McCaffrey,Canada  ,Smooth Silky Salty,02/01/2023,1548,295
,,Beverie Moffet,New Zealand  ,Raspberry Choco,06/23/2023,6293.25,693
,,Kaine Padly,Australia  ,Spicy Special Slims,07/13/2023,3159,58
,,Roddy Speechley,USA,Spicy Special Slims,04/19/2023,2407.5,613
,,Van Tuxwell,New Zealand   ,Orange Choco,01/26/2024,10039.5,678
,,Husein Augar,UK,Raspberry Choco,06/06/2023,2299.5,121
,,Andria Kimpton,India  ,Caramel Stuffed Bars,10/24/2023,2621.25,45
,,Kelci Walkden,USA,Mint Chip Choco,07/17/2023,6329.25,159
,,Gigi Bohling,Canada ,Choco Coated Almonds,12/27/2023,6498,190
,,Dotty Strutley,UK  ,Peanut Butter Cubes,02/20/2024,2927.25,27
,,Barr Faughny,Canada   ,Raspberry Choco,05/19/2023,110.25,276
,,Dotty Strutley,New Zealand,Choco Coated Almonds,12/05/2023,1761.75,789
,,Curtice Advani,New Zealand   ,Organic Choco Syrup,12/06/2023,2027.25,150
,,Jan Morforth,Canada ,Almond Choco,05/01/2023,13070.25,959
